panel,scope,split,source,draw_policy,size,seed,parent_panel,sha256
test_arm_stratified,full,test,combined,arm_balanced,300,20260731,,ca0101e551be612f82a3ec19ea7a27ef29c331ee7ee7302fc6fe42461cf76028
test_pg,full,test,pg,empirical,300,20260731,,2ce2c7361537d3ee7b8866f842b6bc5797c0ac8563a256b951869d98716e1a9b
test_waymo_empirical,full,test,waymo,empirical,400,20260731,,484110b247b9ae105fa9c718c2e76b1ea9031ac51caf54dabca6e13e1b3771c2
validation_pg,full,validation,pg,empirical,150,20260731,,6840f25b07911672dc52024b3aa0a89ec83a120b353be552e2e8c024a7cb5af5
validation_waymo_empirical,full,validation,waymo,empirical,150,20260731,,9a61f88209b63108bc4fa72f5986239ea8b17eb5fe63ec9d037402ca0f273434
fast_test_arm_stratified,fast,test,combined,arm_balanced,60,20260732,test_arm_stratified,ee1b998ccf2ee1e124d2cda08b2176abe1b4001fbf32972e424aa61020ea4cd2
fast_test_pg,fast,test,pg,empirical,100,20260732,test_pg,04a76f438c63ecc6ac2f45307a11e6c9e9c14a020f1ca31e730981f1f5bf3dab
fast_test_waymo_empirical,fast,test,waymo,empirical,100,20260732,test_waymo_empirical,bc09c14f53abd3073465f31fb29eb0b0a0bd0d92c83a9f51e5bf59129ba21280
fast_validation_pg,fast,validation,pg,empirical,50,20260732,validation_pg,2ec5be742bda0c45e906c7a1c8fbd2e0b32561f2622b373ebf20c78ff3d6c920
fast_validation_waymo_empirical,fast,validation,waymo,empirical,50,20260732,validation_waymo_empirical,85cada46ae4f696a509c1b9e82b9f1fdcfc1a16cc2eaa7019d96c0eadd7808df
smoke_test_arm_stratified,smoke,test,combined,arm_balanced,12,20260731,test_arm_stratified,02c1c25c8717200b59bf1e6f62a39465512ebc2f8d029926ab06be9e945f71fe
smoke_test_pg,smoke,test,pg,empirical,20,20260731,test_pg,ab27629bfce8e2d3285441af6e5c87a7ca25c0466d0059e9de2de20037d672a0
smoke_test_waymo_empirical,smoke,test,waymo,empirical,20,20260731,test_waymo_empirical,5e03ad138cfb6232692e5c38822f451898db824bf841b30e29cb8b7ac5263e38
smoke_validation_pg,smoke,validation,pg,empirical,10,20260731,validation_pg,958b951f08840ac3ddee95710b4a2e783ff77ac3f7e9d3029836b347453b2a43
smoke_validation_waymo_empirical,smoke,validation,waymo,empirical,10,20260731,validation_waymo_empirical,a8661fc5665ef13e3d87d3606ccbefc8244e0d5c435bce95e7810765d883316d
