split,holdout_pool,source,primary_arm,count
train,,waymo,A0_simple_low_traffic,20
train,,waymo,A1_traffic,126
train,,waymo,A2_junction,127
train,,waymo,A3_complex_junction,268
train,,waymo,A4_vru,367
train,,waymo,A5_critical_mixed,192
train,,pg,A0_simple_low_traffic,346
train,,pg,A1_traffic,240
train,,pg,A2_junction,240
train,,pg,A3_complex_junction,99
train,,pg,A4_vru,0
train,,pg,A5_critical_mixed,175
validation,empirical,waymo,A0_simple_low_traffic,0
validation,empirical,waymo,A1_traffic,8
validation,empirical,waymo,A2_junction,49
validation,empirical,waymo,A3_complex_junction,49
validation,empirical,waymo,A4_vru,18
validation,empirical,waymo,A5_critical_mixed,26
validation,empirical,pg,A0_simple_low_traffic,87
validation,empirical,pg,A1_traffic,51
validation,empirical,pg,A2_junction,9
validation,empirical,pg,A3_complex_junction,1
validation,empirical,pg,A4_vru,0
validation,empirical,pg,A5_critical_mixed,2
test,empirical,waymo,A0_simple_low_traffic,1
test,empirical,waymo,A1_traffic,37
test,empirical,waymo,A2_junction,113
test,empirical,waymo,A3_complex_junction,126
test,empirical,waymo,A4_vru,68
test,empirical,waymo,A5_critical_mixed,55
test,empirical,pg,A0_simple_low_traffic,197
test,empirical,pg,A1_traffic,70
test,empirical,pg,A2_junction,23
test,empirical,pg,A3_complex_junction,2
test,empirical,pg,A4_vru,0
test,empirical,pg,A5_critical_mixed,8
test,stratified,waymo,A0_simple_low_traffic,5
test,stratified,waymo,A1_traffic,25
test,stratified,waymo,A2_junction,25
test,stratified,waymo,A3_complex_junction,25
test,stratified,waymo,A4_vru,50
test,stratified,waymo,A5_critical_mixed,25
test,stratified,pg,A0_simple_low_traffic,45
test,stratified,pg,A1_traffic,25
test,stratified,pg,A2_junction,25
test,stratified,pg,A3_complex_junction,25
test,stratified,pg,A4_vru,0
test,stratified,pg,A5_critical_mixed,25
