scenario_uid,source,split,outcome,gate_lo_m,gate_hi_m,reconstruction_residual_m,components_forward,components_aligned,nearest_gap_m,nearest_lo_m,nearest_hi_m,nearest_lane_types,nearest_is_route_lane,lane_change_left_crosses,lane_change_right_crosses
pg:scenarionet_v1:PGMap-12920000,pg,test,ok,-5.651443897733898,5.6514438977339125,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-12920016,pg,train,ok,-5.52311229284382,5.52311229284382,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-12920018,pg,train,ok,-5.1662390927002235,5.1662390927002235,0.0,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-12920025,pg,train,ok,-10.868280292479085,2.1736560584958227,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-12920029,pg,train,ok,-6.318836368791681,2.106278789597252,2.6645352591003757e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-12920044,pg,train,ok,-9.965698911202916,1.993139782240596,8.881784197001252e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-12920050,pg,train,ok,-6.097391712908789,6.097391712908821,9.769962616701378e-15,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-12920057,pg,train,ok,-1.9679920382161527,1.967992038216181,0.0,1,1,,,,,False,False,False
pg:scenarionet_v1:PGMap-12920061,pg,train,ok,-11.178359935347817,2.2356719870696056,1.1546319456101628e-14,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-12920065,pg,train,ok,-5.460573620379307,1.8201912067930834,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-12920068,pg,train,ok,-1.8704151701183094,1.8704151701183587,4.6629367034256575e-15,1,1,,,,,False,False,False
pg:scenarionet_v1:PGMap-12920073,pg,train,ok,-2.2325450902171013,2.2325450902171156,0.0,1,1,,,,,False,False,False
pg:scenarionet_v1:PGMap-12920074,pg,test,ok,-2.001506307627977,6.0045189228839275,9.769962616701378e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-12920078,pg,train,ok,-5.98836176293552,1.9961205876451944,5.329070518200751e-15,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-12920100,pg,train,ok,-4.652096685966995,1.550698895322327,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-12920103,pg,test,ok,-2.1195285720162356,10.59764286008115,1.7763568394002505e-15,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-12920147,pg,train,ok,-4.967757324283454,4.967757324283455,8.881784197001252e-16,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-12920149,pg,train,ok,-6.650905228435628,6.650905228435569,7.105427357601002e-15,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-12920162,pg,train,ok,-6.5423603908463885,6.542360390846358,5.329070518200751e-15,1,1,,,,,False,True,True
pg:scenarionet_v1:PGMap-12920166,pg,train,ok,-11.111978147912026,2.222395629582394,0.0,1,1,,,,,False,True,False
pg:scenarionet_v1:PGMap-12920172,pg,train,ok,-6.236560718256653,12.195539258378172,3.552713678800501e-15,2,1,31.431389535971622,43.626928794349794,64.44015451937878,LANE_SURFACE_STREET,False,True,True
pg:scenarionet_v1:PGMap-12920196,pg,train,ok,-2.0149358814597633,2.0149358814597775,0.0,1,1,,,,,False,False,False
pg:scenarionet_v1:PGMap-12920219,pg,train,ok,-1.8271900050052652,9.135950025026315,1.2656542480726785e-14,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-12920223,pg,train,ok,-1.9844514704560239,9.922257352280072,2.6645352591003757e-14,1,1,,,,,False,False,True
pg:scenarionet_v1:PGMap-12920225,pg,test,ok,-2.028608623425183,2.028608623425112,2.220446049250313e-15,1,1,,,,,False,False,False
pg:scenarionet_v1:PGMap-12920245,pg,train,ok,-6.031753599111459,6.031753599111432,6.217248937900877e-15,1,1,,,,,False,True,True
