scenario_uid,source,split,topology_tag,route_length_m,corridor_m,corridor_share_of_route,corridor_channel_units,corridor_offset_m,entry_gap_m,gate_length_m,corridor_lane_types,fold_needs_planar_m,fold_jump_channel_units,reach_covers_fold
waymo:training_20s:9788651373eb207,waymo,train,simple,158.56,158.59,1.0002,71.36,-25.981,0.8876,15.52,LANE_FREEWAY,158.23,70.29,False
waymo:training_20s:664a9690e5c0b9a,waymo,train,simple,139.74,139.74,1.0,62.89,22.006,0.8719,20.57,LANE_SURFACE_STREET,139.55,61.86,False
waymo:training_20s:a41d5565710022dc,waymo,train,intersection,130.48,93.0,0.7128,41.85,-12.417,0.1228,17.23,LANE_SURFACE_STREET,130.2,57.59,False
waymo:training_20s:a925af1e047d1c58,waymo,train,intersection,140.97,93.0,0.6597,41.85,-12.417,0.1231,17.23,LANE_SURFACE_STREET,140.52,62.24,False
waymo:training_20s:f961a05d46ab3b0b,waymo,test,intersection,126.38,93.0,0.7359,41.85,14.102,0.014,6.91,LANE_SURFACE_STREET,126.07,55.74,False
waymo:training_20s:df65f4e586d3a2c4,waymo,train,intersection,155.35,91.0,0.5858,40.95,-12.605,0.0723,11.09,LANE_SURFACE_STREET,154.86,68.69,False
waymo:training_20s:dbdb26efa8f5c690,waymo,validation,intersection,112.24,83.0,0.7395,37.35,10.272,0.0122,3.27,LANE_SURFACE_STREET,112.09,49.45,False
waymo:training_20s:527505e0f54911a6,waymo,validation,intersection,391.67,82.0,0.2094,36.9,39.895,0.0325,10.31,LANE_SURFACE_STREET,391.49,175.18,False
waymo:training_20s:8d054dee8529e2f4,waymo,test,intersection,76.93,76.87,0.9993,34.59,-12.593,1.553,10.47,LANE_SURFACE_STREET,76.38,33.37,False
waymo:training_20s:62aa5cf50ff8a76,waymo,test,simple,77.28,72.0,0.9317,32.4,16.668,0.0548,12.0,LANE_SURFACE_STREET,77.1,33.7,False
waymo:training_20s:dc7873fb59f83420,waymo,train,intersection,113.97,72.0,0.6317,32.4,-8.279,1.7995,4.42,LANE_SURFACE_STREET,112.75,50.1,False
waymo:training_20s:1f0acec6b4544ef6,waymo,train,intersection,78.59,71.0,0.9034,31.95,5.496,0.0145,13.9,LANE_SURFACE_STREET,78.44,34.3,False
waymo:training_20s:82f4f8ee82a8fd07,waymo,train,intersection,68.51,68.45,0.9991,30.8,-9.35,1.514,10.47,LANE_SURFACE_STREET,68.12,29.65,False
waymo:training_20s:1e215c9f95a467b6,waymo,validation,intersection,144.74,68.0,0.4698,30.6,9.358,0.1516,3.41,LANE_SURFACE_STREET,144.34,64.06,False
waymo:training_20s:7afed1e2687d8449,waymo,test,intersection,90.08,67.0,0.7438,30.15,14.985,0.0219,10.24,LANE_SURFACE_STREET,89.91,39.46,False
waymo:training_20s:4672cb02121ed1a8,waymo,train,intersection,94.62,60.0,0.6341,27.0,-8.672,1.0706,72.5,LANE_SURFACE_STREET,94.32,41.45,False
waymo:training_20s:5b64cff15c7b3490,waymo,train,intersection,89.51,56.0,0.6257,25.2,7.118,0.0335,8.69,LANE_SURFACE_STREET,89.23,39.15,False
waymo:training_20s:ee90ee81b8654e40,waymo,test,intersection,75.77,56.0,0.7391,25.2,-10.92,0.2666,13.25,LANE_SURFACE_STREET,75.32,32.9,False
waymo:training_20s:f3afbab5c7b6d7f2,waymo,train,intersection,116.4,55.0,0.4725,24.75,-11.813,1.6706,27.81,LANE_SURFACE_STREET,116.18,51.28,False
waymo:training_20s:9cccdf7d7b210411,waymo,test,intersection,54.28,54.24,0.9991,24.41,-6.859,0.2529,5.71,LANE_SURFACE_STREET,53.99,23.3,False
