scenario_uid,scenario_id,source,split,primary_arm,tags,topology,duration_steps,actor_density_q90,interactions,traffic_controls,lane_marking_coverage,conflict_zone_coverage,rulebook_applicability,expected_runtime_behavior,selection_reason,unavailable_dimensions,relative_path
pg:scenarionet_v1:PGMap-1920034,PGMap-1920034,pg,train,A0_simple_low_traffic,has_vehicle_conflict,simple,501,6.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P1_vehicle_interaction/1920034/sd_pg_scenarionet_v1_PGMap-1920034.pkl
pg:scenarionet_v1:PGMap-1920192,PGMap-1920192,pg,train,A0_simple_low_traffic,has_vehicle_conflict,simple,501,5.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P1_vehicle_interaction/1920192/sd_pg_scenarionet_v1_PGMap-1920192.pkl
pg:scenarionet_v1:PGMap-1920039,PGMap-1920039,pg,train,A0_simple_low_traffic,has_vehicle_conflict,simple,501,3.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P1_vehicle_interaction/1920039/sd_pg_scenarionet_v1_PGMap-1920039.pkl
pg:scenarionet_v1:PGMap-1920189,PGMap-1920189,pg,train,A0_simple_low_traffic,has_vehicle_conflict,simple,501,3.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P1_vehicle_interaction/1920189/sd_pg_scenarionet_v1_PGMap-1920189.pkl
pg:scenarionet_v1:PGMap-1920241,PGMap-1920241,pg,train,A0_simple_low_traffic,has_vehicle_conflict,simple,440,6.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P1_vehicle_interaction/1920241/sd_pg_scenarionet_v1_PGMap-1920241.pkl
pg:scenarionet_v1:PGMap-1920253,PGMap-1920253,pg,train,A0_simple_low_traffic,has_vehicle_conflict,simple,419,4.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P1_vehicle_interaction/1920253/sd_pg_scenarionet_v1_PGMap-1920253.pkl
pg:scenarionet_v1:PGMap-1920221,PGMap-1920221,pg,train,A0_simple_low_traffic,has_vehicle_conflict,simple,467,1.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P1_vehicle_interaction/1920221/sd_pg_scenarionet_v1_PGMap-1920221.pkl
pg:scenarionet_v1:PGMap-1920163,PGMap-1920163,pg,train,A0_simple_low_traffic,has_vehicle_conflict,simple,442,3.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P1_vehicle_interaction/1920163/sd_pg_scenarionet_v1_PGMap-1920163.pkl
pg:scenarionet_v1:PGMap-24920616,PGMap-24920616,pg,train,A1_traffic,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,5.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/24920616/sd_pg_scenarionet_v1_PGMap-24920616.pkl
pg:scenarionet_v1:PGMap-29920890,PGMap-29920890,pg,train,A1_traffic,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,4.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/29920890/sd_pg_scenarionet_v1_PGMap-29920890.pkl
pg:scenarionet_v1:PGMap-24921740,PGMap-24921740,pg,train,A1_traffic,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,5.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/24921740/sd_pg_scenarionet_v1_PGMap-24921740.pkl
pg:scenarionet_v1:PGMap-29920939,PGMap-29920939,pg,train,A1_traffic,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,7.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/29920939/sd_pg_scenarionet_v1_PGMap-29920939.pkl
pg:scenarionet_v1:PGMap-29921702,PGMap-29921702,pg,train,A1_traffic,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,5.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/29921702/sd_pg_scenarionet_v1_PGMap-29921702.pkl
pg:scenarionet_v1:PGMap-14920601,PGMap-14920601,pg,train,A1_traffic,has_merge_or_roundabout;has_intersection;has_unsignalized_intersection;has_vehicle_conflict,mixed,501,3.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/14920601/sd_pg_scenarionet_v1_PGMap-14920601.pkl
pg:scenarionet_v1:PGMap-14920341,PGMap-14920341,pg,train,A1_traffic,has_merge_or_roundabout;has_vehicle_conflict,merge_or_roundabout,501,5.0,vehicle_conflict,none_in_catalog_metadata,unavailable_without_source_content,unavailable_without_source_content,eligible_static_catalog,valid_source_metadata; termination/truncation requires live smoke,deterministic metadata coverage score within arm/source quota,"lane markings, live conflict zones, control geometry, runtime fallback",pg/database/P5_complex_mixed/14920341/sd_pg_scenarionet_v1_PGMap-14920341.pkl
