scenario_uid,source,primary_arm,relative_path,content_validation,description_length,track_count,map_feature_count,sdc_id,route_lane_count,map_feature_types,actual_traffic_controls,actual_lane_markings
pg:scenarionet_v1:PGMap-1920034,pg,A0_simple_low_traffic,pg/database/P1_vehicle_interaction/1920034/sd_pg_scenarionet_v1_PGMap-1920034.pkl,pass,501,12,70,c0877bba-0bfe-40da-9f9c-888b47fed088,6,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-1920192,pg,A0_simple_low_traffic,pg/database/P1_vehicle_interaction/1920192/sd_pg_scenarionet_v1_PGMap-1920192.pkl,pass,501,12,70,c0691e10-0e87-4e85-b289-42c7e5ed1fa5,6,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-1920039,pg,A0_simple_low_traffic,pg/database/P1_vehicle_interaction/1920039/sd_pg_scenarionet_v1_PGMap-1920039.pkl,pass,501,11,70,bc36d6eb-ffb9-439c-9b9b-fa46c931ac19,6,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-1920189,pg,A0_simple_low_traffic,pg/database/P1_vehicle_interaction/1920189/sd_pg_scenarionet_v1_PGMap-1920189.pkl,pass,501,7,80,27413329-1d81-4720-83b4-f6966c05eef5,8,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-1920241,pg,A0_simple_low_traffic,pg/database/P1_vehicle_interaction/1920241/sd_pg_scenarionet_v1_PGMap-1920241.pkl,pass,440,15,84,a42bcb72-df32-4363-8a86-61c273215ab3,6,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-1920253,pg,A0_simple_low_traffic,pg/database/P1_vehicle_interaction/1920253/sd_pg_scenarionet_v1_PGMap-1920253.pkl,pass,419,15,70,7b2cc196-d30c-47d1-96d1-c3e1a151a722,5,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-1920221,pg,A0_simple_low_traffic,pg/database/P1_vehicle_interaction/1920221/sd_pg_scenarionet_v1_PGMap-1920221.pkl,pass,467,5,80,da87332b-0cc1-40ae-a2aa-5cf347d87810,8,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-1920163,pg,A0_simple_low_traffic,pg/database/P1_vehicle_interaction/1920163/sd_pg_scenarionet_v1_PGMap-1920163.pkl,pass,442,9,60,6a698833-a248-44b6-8b6b-d3e9511be992,6,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-24920616,pg,A1_traffic,pg/database/P5_complex_mixed/24920616/sd_pg_scenarionet_v1_PGMap-24920616.pkl,pass,501,31,263,10a2fa06-d350-4e2c-9179-84c637fc5e2a,6,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-29920890,pg,A1_traffic,pg/database/P5_complex_mixed/29920890/sd_pg_scenarionet_v1_PGMap-29920890.pkl,pass,501,25,182,be1e5194-25c5-428f-9f4b-8859b7c09873,6,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-24921740,pg,A1_traffic,pg/database/P5_complex_mixed/24921740/sd_pg_scenarionet_v1_PGMap-24921740.pkl,pass,501,20,144,edf51f16-db10-4e3b-ae73-88e099f49322,4,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-29920939,pg,A1_traffic,pg/database/P5_complex_mixed/29920939/sd_pg_scenarionet_v1_PGMap-29920939.pkl,pass,501,17,111,6548fada-64e4-4bd3-9fb4-6b9384ab01b4,6,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-29921702,pg,A1_traffic,pg/database/P5_complex_mixed/29921702/sd_pg_scenarionet_v1_PGMap-29921702.pkl,pass,501,17,131,92b994c9-02c8-4ef7-b590-afb316fd2674,6,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-14920601,pg,A1_traffic,pg/database/P5_complex_mixed/14920601/sd_pg_scenarionet_v1_PGMap-14920601.pkl,pass,501,13,111,ea621cd3-f1fd-4c12-95fc-4ea2fa59a5f4,8,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-14920341,pg,A1_traffic,pg/database/P5_complex_mixed/14920341/sd_pg_scenarionet_v1_PGMap-14920341.pkl,pass,501,28,200,33d09426-09ba-454f-8f2f-7b07e45c50f6,4,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-19921282,pg,A1_traffic,pg/database/P5_complex_mixed/19921282/sd_pg_scenarionet_v1_PGMap-19921282.pkl,pass,501,6,95,d08b82f9-6f75-4b5f-8d6b-0f92f0bbcccb,8,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_BROKEN_SINGLE_YELLOW;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-19920661,pg,A2_junction,pg/database/P5_complex_mixed/19920661/sd_pg_scenarionet_v1_PGMap-19920661.pkl,pass,501,30,163,8b3f763b-d8a5-4a82-a1e1-4267df47010d,5,LANE_SURFACE_STREET;LANE_SURFACE_UNSTRUCTURE;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
pg:scenarionet_v1:PGMap-19921620,pg,A2_junction,pg/database/P5_complex_mixed/19921620/sd_pg_scenarionet_v1_PGMap-19921620.pkl,pass,501,44,258,311ec0b9-3840-4f09-9775-c7c2c3ce9dd8,5,LANE_SURFACE_STREET;ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW,none_in_map_features,ROAD_LINE_BROKEN_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_WHITE;ROAD_LINE_SOLID_SINGLE_YELLOW
